List,Date Added,Platform,Game,Giantbomb ID,Tags
Wishlist,,PC,The Wolf Among Us,,
Wishlist,,PC,Guacamelee,,
Wishlist,,PC,The Witcher 3,,
Wishlist,,PC,"That Dragon, Cancer",,
Wishlist,,PC,XCOM2,,
Wishlist,,PC,Master of Orion,,
Wishlist,,PC,Enter the Gungeon,,
Wishlist,,PC,Furi,,
Wishlist,,PC,Owlboy,,
Wishlist,,PC,Night in the Woods,,
Wishlist,,PC,Hollow Knight,,
Wishlist,,PC,Nier: Automata,,
Interested,,PC,Euro Truck Simulator 2,,
Interested,,PC,Europa Universalis,,
Interested,,PC,Evil Within 2,,
Interested,,PC,Farming Simulator 17,,
Interested,,PC,Final Fantasy 12,,
Interested,,PC,Final Fantasy XV,,
Interested,,PC,Hearts of Iron IV,,
Interested,,PC,Hitman,,
Interested,,PC,I Am Setsuna!,,
Interested,,PC,Just Cause 3,,
Interested,,PC,Kingdom Come Deliverance,,
Interested,,PC,Life is Strange: Before the Storm,,